1102943311791611400, 1106.967529543286
1332355321281716000, 1317.9062498830383
1620788862738397200, 1638.5586350586802
1971663636281117700, 1950.8805508243809
2398497166413916700, 2390.774175683607
2917733304726531000, 2929.8570620842534
3574304018221044000, 3590.652417932512
4317758607937629000, 4400.096356805457
5252484042324314000, 5314.965767175723
6434438263328981000, 6420.336824743982
7882364883163164000, 7868.369498991351
9588770360733070000, 9642.566068422762
11502447866603102000, 11646.429302699578
13992543204229392000, 13866.32856893404
17021704213995760000, 16992.9728604566
20706629961391640000, 21127.437872223534
25544348629495050000, 25522.501078596437
30642358440487070000, 30826.44208302194
37275937203149530000, 36702.19974076666
45029325403591885000, 44976.008972508884
55549589131838350000, 55122.246000061394
67575183553862580000, 66583.28062453351
82204126145749270000, 80427.29715186935
100000000000000000000, 101449.64600617388
