1014095901151095900, 419.4126347923936
1438979845633402400, 587.3107153626145
2013498766004072200, 813.537091555354
2817396847497432000, 1151.6506438136287
3914760225458791000, 1578.022559248725
5401604673360023000, 2162.248778198814
7453159674382261000, 2995.125980544906
10212181880078926000, 4059.668445406495
14090816855117244000, 5502.575849457531
19855111964445786000, 7789.497351061978
28371842349767954000, 10789.93598090322
39978243439284610000, 14946.114392877702
55939729855338560000, 20258.336168938902
78273908683374560000, 27458.654038490946
99302569525255880000, 34493.38763797473
